term,definition,difficulty
Intron,"A segment of DNA or RNA that does not code for proteins and is removed during processing.",intermediate
Exon,"A portion of a gene that codes for amino acids in a protein.",intermediate
Transposon,"A DNA sequence that can change its position within the genome, potentially disrupting genes.",advanced
CRISPR-Cas9,"A revolutionary gene-editing technology that allows for precise modifications to DNA.",advanced
Gene Expression Vector,"A plasmid or virus used to introduce a gene into a host cell for expression.",advanced
Gene Amplification,"The process of increasing the number of copies of a specific gene.",advanced
Gene Fusion,"The joining of two or more genes to produce a hybrid gene with a new function.",advanced
cDNA (complementary DNA),"DNA synthesized from an mRNA template used in gene cloning and expression studies.",advanced
Operon,"A cluster of genes under the control of a single promoter, common in prokaryotes.",advanced
tRNA (transfer RNA),"A type of RNA that carries amino acids to the ribosome during protein synthesis.",intermediate
mRNA (messenger RNA),"RNA that carries the genetic instructions from DNA to the ribosome.",intermediate
Epigenetics,"The study of changes in gene expression not caused by changes in the DNA sequence.",advanced
RNA Interference,"A biological process in which RNA molecules inhibit gene expression or translation.",advanced
RNA Polymerase,"An enzyme that synthesizes RNA from a DNA template during transcription.",intermediate
Ribosome,"A cellular structure that synthesizes proteins by translating mRNA.",beginner
Codon,"A sequence of three nucleotides in mRNA that codes for a specific amino acid.",intermediate
Polypeptide,"A chain of amino acids that forms a protein.",intermediate
Peptide Bond,"The bond formed between two amino acids during protein synthesis.",intermediate
Codon Usage,"The frequency with which different codons are used in a given organism's genome.",intermediate
Codon Bias,"The preference for certain codons over others in the coding sequences of genes.",intermediate
Codon Table,"A chart that shows the correspondence between codons and the amino acids they code for.",intermediate
Start Codon,"The first codon of a messenger RNA (mRNA) transcript that is translated by a ribosome.",intermediate
Stop Codon,"A codon that signals the end of protein synthesis.",intermediate
Start Site,"The location on the DNA where transcription begins.",intermediate
Stop Site,"The location on the DNA where transcription ends.",intermediate
5' Cap,"A modified guanine nucleotide added to the 5' end of mRNA that protects it from degradation.",intermediate
Poly-A Tail,"A stretch of adenine nucleotides added to the 3' end of mRNA that aids in stability and export from the nucleus.",intermediate
Spliceosome,"A complex of proteins and RNA that removes introns from pre-mRNA.",advanced
Ribosomal RNA (rRNA),"A type of RNA that is a structural component of ribosomes.",beginner
Ribosomal Subunit,"The two parts of a ribosome that come together during protein synthesis.",intermediate
Ribosomal Binding Site,"The region on mRNA where the ribosome binds to initiate translation.",intermediate
Aminoacyl-tRNA,"A tRNA molecule that is covalently bonded to its corresponding amino acid.",intermediate
Amino Acid Sequence,"The order of amino acids in a protein, determined by the sequence of codons in mRNA.",intermediate
Peptide Chain,"A series of amino acids linked together by peptide bonds.",intermediate
Peptide Synthesis,"The process of forming peptide bonds between amino acids to create proteins.",intermediate
Polypeptide Chain,"A long chain of amino acids that makes up a protein.",intermediate
Protein Folding,"The process by which a protein assumes its functional shape or conformation.",advanced
Protein Structure,"The three-dimensional arrangement of atoms in a protein molecule.",advanced
Protein Domain,"A distinct functional and structural unit within a protein.",advanced
Protein Conformation,"The specific three-dimensional shape of a protein that is crucial for its function.",advanced
Protein Denaturation,"The process in which a protein loses its native structure and function due to external stress.",advanced
Protein Misfolding,"The incorrect folding of a protein that can lead to loss of function or disease.",advanced
Protein Aggregation,"The clustering of misfolded proteins that can lead to cellular dysfunction.",advanced
Protein Degradation,"The process of breaking down proteins into their constituent amino acids.",advanced
Amino Acid,"The building blocks of proteins, coded for by codons in mRNA.",beginner
Antisense RNA,"RNA that is complementary to a given mRNA and can inhibit its translation.",advanced
RNA Splicing,"The process of removing introns and joining exons in mRNA before translation.",advanced
